index,uuid,num_achievements,num_exercises,num_points,Click,Group,Button,Banner
360,961637312,95,432,574,0,CurrentAd,No,Yes
361,961647904,64,321,403,0,CurrentAd,No,Yes
362,961648016,48,149,315,0,CurrentAd,No,Yes
363,961648072,4,375,534,0,CurrentAd,No,Yes
364,961632720,97,444,539,0,CurrentAd,No,Yes
367,961648472,97,651,153,0,CurrentAd,No,Yes
369,961638352,98,348,33,0,CurrentAd,No,Yes
371,961628632,64,643,436,0,CurrentAd,No,Yes
372,961628808,99,516,352,0,CurrentAd,No,Yes
374,961634584,20,119,647,0,CurrentAd,No,Yes
375,961629296,61,288,128,0,CurrentAd,No,Yes
376,961635416,61,505,276,0,CurrentAd,No,Yes
379,961630608,53,516,49,0,CurrentAd,No,Yes
380,961630720,75,224,57,0,CurrentAd,No,Yes
381,961651824,63,441,551,0,CurrentAd,No,Yes
382,961641408,52,322,78,0,CurrentAd,No,Yes
384,961652000,9,72,557,0,CurrentAd,No,Yes
385,961641592,33,350,683,0,CurrentAd,No,Yes
390,961652440,46,5,562,0,CurrentAd,No,Yes
393,961647512,83,433,458,0,CurrentAd,No,Yes
395,961653088,23,493,209,0,CurrentAd,No,Yes
397,961691648,36,449,562,0,CurrentAd,No,Yes
398,961691824,17,150,514,0,CurrentAd,No,Yes
399,961682584,96,349,551,0,CurrentAd,No,Yes
400,961663960,63,377,536,0,CurrentAd,No,Yes
402,961664216,40,21,392,0,CurrentAd,No,Yes
403,961654688,84,176,2,0,CurrentAd,No,Yes
404,961665056,68,243,134,0,CurrentAd,No,Yes
406,961665136,5,580,143,0,CurrentAd,No,Yes
407,961665296,61,278,382,0,CurrentAd,No,Yes
408,961684312,86,614,529,0,CurrentAd,No,Yes
409,961674752,54,655,18,0,CurrentAd,No,Yes
410,961674760,43,44,566,0,CurrentAd,No,Yes
411,961656232,6,113,642,0,CurrentAd,No,Yes
412,961656336,12,83,392,0,CurrentAd,No,Yes
414,961684776,28,368,519,0,CurrentAd,No,Yes
416,961666096,11,79,246,0,CurrentAd,No,Yes
417,961694680,54,557,532,0,CurrentAd,No,Yes
419,961675896,44,344,427,0,CurrentAd,No,Yes
420,961675992,64,620,100,0,CurrentAd,No,Yes
422,961687104,85,256,502,0,CurrentAd,No,Yes
423,961677360,92,676,681,0,CurrentAd,No,Yes
424,961687680,90,255,675,0,CurrentAd,No,Yes
425,961678000,93,650,263,0,CurrentAd,No,Yes
426,961697472,30,74,456,0,CurrentAd,No,Yes
427,961669064,44,621,500,0,CurrentAd,No,Yes
428,961697712,93,563,12,0,CurrentAd,No,Yes
429,961678480,28,488,176,0,CurrentAd,No,Yes
430,961660256,3,223,19,0,CurrentAd,No,Yes
431,961698144,37,414,145,0,CurrentAd,No,Yes
432,961679400,50,595,306,0,CurrentAd,No,Yes
434,961679912,83,587,441,0,CurrentAd,No,Yes
435,961680032,28,262,520,0,CurrentAd,No,Yes
436,961671064,54,488,654,0,CurrentAd,No,Yes
438,961700768,15,535,163,0,CurrentAd,No,Yes
440,961691040,36,3,391,0,CurrentAd,No,Yes
441,961663064,6,597,502,0,CurrentAd,No,Yes
442,961701512,52,439,587,0,CurrentAd,No,Yes
445,982027777,76,601,37,0,CurrentAd,No,Yes
446,982021441,83,538,122,0,CurrentAd,No,Yes
447,982010617,82,283,278,0,CurrentAd,No,Yes
448,982028513,70,74,220,0,CurrentAd,No,Yes
449,982035025,83,592,671,0,CurrentAd,No,Yes
450,982035281,92,656,501,0,CurrentAd,No,Yes
451,982028881,24,371,319,1,CurrentAd,No,Yes
452,982011249,37,162,241,0,CurrentAd,No,Yes
454,982029025,60,230,375,0,CurrentAd,No,Yes
455,982022889,34,30,234,0,CurrentAd,No,Yes
456,982035921,76,362,629,1,CurrentAd,No,Yes
457,982036385,99,606,1,1,CurrentAd,No,Yes
458,982023977,89,439,344,0,CurrentAd,No,Yes
460,982030641,65,641,382,0,CurrentAd,No,Yes
465,982018961,63,28,206,0,CurrentAd,No,Yes
467,982019057,89,215,651,0,CurrentAd,No,Yes
469,982038225,70,576,346,0,CurrentAd,No,Yes
470,982019529,18,41,516,0,CurrentAd,No,Yes
471,982014505,54,62,188,0,CurrentAd,No,Yes
472,982015089,65,249,155,0,CurrentAd,No,Yes
473,982039297,83,476,646,1,CurrentAd,No,Yes
475,982049881,78,78,171,0,CurrentAd,No,Yes
476,982069657,52,699,549,0,CurrentAd,No,Yes
477,982079793,68,179,514,0,CurrentAd,No,Yes
480,982060465,23,70,614,0,CurrentAd,No,Yes
482,982080545,43,294,431,0,CurrentAd,No,Yes
488,982051409,60,36,364,0,CurrentAd,No,Yes
492,981950809,27,659,569,0,CurrentAd,No,Yes
493,981948681,0,19,384,0,CurrentAd,No,Yes
494,981948761,8,405,511,0,CurrentAd,No,Yes
496,981953737,39,472,377,0,CurrentAd,No,Yes
497,981954129,4,94,216,0,CurrentAd,No,Yes
499,981955281,34,236,19,0,CurrentAd,No,Yes
500,981961801,48,391,583,0,CurrentAd,No,Yes
502,981990577,41,680,617,0,CurrentAd,No,Yes
503,981981193,68,561,518,0,CurrentAd,No,Yes
505,981991177,58,253,487,0,CurrentAd,No,Yes
506,981963089,1,149,264,1,CurrentAd,No,Yes
507,981981713,84,609,401,0,CurrentAd,No,Yes
508,981981729,58,441,143,0,CurrentAd,No,Yes
509,981972833,69,306,423,0,CurrentAd,No,Yes
511,981982049,98,163,468,0,CurrentAd,No,Yes
512,981963585,78,602,325,0,CurrentAd,No,Yes
513,982001921,68,680,438,0,CurrentAd,No,Yes
514,981973457,91,174,301,0,CurrentAd,No,Yes
519,981992817,68,143,247,0,CurrentAd,No,Yes
520,981983185,8,627,109,0,CurrentAd,No,Yes
523,981974305,71,98,347,0,CurrentAd,No,Yes
524,981974289,66,273,386,0,CurrentAd,No,Yes
526,981993297,66,139,292,0,CurrentAd,No,Yes
531,981974729,69,84,351,0,CurrentAd,No,Yes
536,981994129,56,51,472,0,CurrentAd,No,Yes
537,981966833,98,25,688,0,CurrentAd,No,Yes
538,981966905,40,478,583,0,CurrentAd,No,Yes
541,981945441,48,592,320,0,CurrentAd,No,Yes
542,981945633,75,316,562,0,CurrentAd,No,Yes
543,981948169,65,519,503,0,CurrentAd,No,Yes
544,981950561,48,697,488,0,CurrentAd,No,Yes
545,981959273,44,599,187,0,CurrentAd,No,Yes
546,981950793,43,625,213,0,CurrentAd,No,Yes
547,981959409,17,487,546,0,CurrentAd,No,Yes
548,981950977,59,419,200,0,CurrentAd,No,Yes
549,981951513,68,288,259,0,CurrentAd,No,Yes
550,981960361,27,93,475,0,CurrentAd,No,Yes
551,981949465,87,459,617,0,CurrentAd,No,Yes
552,981954505,51,79,524,0,CurrentAd,No,Yes
555,981955009,73,356,479,0,CurrentAd,No,Yes
556,981961297,87,547,144,0,CurrentAd,No,Yes
557,981955337,7,612,528,0,CurrentAd,No,Yes
558,981961769,84,89,470,0,CurrentAd,No,Yes
559,981961817,71,654,496,0,CurrentAd,No,Yes
560,981980633,81,54,585,0,CurrentAd,No,Yes
563,981986449,85,402,385,0,CurrentAd,No,Yes
565,982005705,89,643,21,0,CurrentAd,No,Yes
566,982006193,29,491,123,0,CurrentAd,No,Yes
567,981977793,79,482,495,0,CurrentAd,No,Yes
569,981987281,52,6,472,0,CurrentAd,No,Yes
572,981978665,82,36,264,0,CurrentAd,No,Yes
573,981988409,58,496,634,0,CurrentAd,No,Yes
574,982007833,60,119,346,0,CurrentAd,No,Yes
575,982007881,75,200,354,0,CurrentAd,No,Yes
576,982008209,49,502,134,0,CurrentAd,No,Yes
577,982008705,51,143,361,0,CurrentAd,No,Yes
578,981999785,35,429,651,0,CurrentAd,No,Yes
579,982000145,37,179,402,0,CurrentAd,No,Yes
581,961637408,3,164,411,0,CurrentAd,No,Yes
582,961632512,0,276,608,0,CurrentAd,No,Yes
583,961632640,47,208,231,0,CurrentAd,No,Yes
584,961648176,23,317,6,0,CurrentAd,No,Yes
586,961643024,83,629,620,0,CurrentAd,No,Yes
589,961643744,13,86,381,0,CurrentAd,No,Yes
591,961644216,54,620,378,0,CurrentAd,No,Yes
593,961638984,51,16,671,0,CurrentAd,No,Yes
594,961644584,38,643,224,0,CurrentAd,No,Yes
595,961644648,76,644,611,0,CurrentAd,No,Yes
597,961649824,2,222,54,0,CurrentAd,No,Yes
599,961629512,20,23,172,0,CurrentAd,No,Yes
600,961629728,0,7,320,0,CurrentAd,No,Yes
601,961645736,97,572,148,0,CurrentAd,No,Yes
603,961635648,39,48,563,0,CurrentAd,No,Yes
604,961646752,43,299,172,0,CurrentAd,No,Yes
607,961646952,59,143,11,0,CurrentAd,No,Yes
608,961652072,27,405,187,0,CurrentAd,No,Yes
609,961652096,13,534,116,0,CurrentAd,No,Yes
610,981972121,27,232,581,0,CurrentAd,No,Yes
612,961636568,62,192,633,0,CurrentAd,No,Yes
613,961641680,36,397,615,0,CurrentAd,No,Yes
617,961641872,87,18,96,1,CurrentAd,No,Yes
618,961641928,48,24,506,0,CurrentAd,No,Yes
620,981991665,83,558,137,0,CurrentAd,No,Yes
622,981982001,8,419,251,0,CurrentAd,No,Yes
623,961647560,54,159,192,0,CurrentAd,No,Yes
625,961647672,36,409,659,0,CurrentAd,No,Yes
627,961672560,6,301,327,0,CurrentAd,No,Yes
629,981964033,57,686,148,0,CurrentAd,No,Yes
631,961654040,29,223,330,0,CurrentAd,No,Yes
632,981964401,50,265,38,0,CurrentAd,No,Yes
633,982002593,27,658,102,0,CurrentAd,No,Yes
635,981974145,3,645,278,0,CurrentAd,No,Yes
636,961682744,15,24,557,0,CurrentAd,No,Yes
637,961664064,96,458,97,0,CurrentAd,No,Yes
638,981964905,10,640,371,0,CurrentAd,No,Yes
639,981983417,84,429,308,1,CurrentAd,No,Yes
640,981993185,96,560,490,0,CurrentAd,No,Yes
642,981993377,0,654,267,0,CurrentAd,No,Yes
644,961654520,30,156,695,0,CurrentAd,No,Yes
645,961683072,59,442,152,0,CurrentAd,No,Yes
646,961692520,53,60,356,0,CurrentAd,No,Yes
649,981974673,89,543,206,0,CurrentAd,No,Yes
650,981983897,0,10,258,0,CurrentAd,No,Yes
651,981983913,30,38,640,0,CurrentAd,No,Yes
652,961692688,39,84,428,0,CurrentAd,No,Yes
653,961683400,76,9,581,0,CurrentAd,No,Yes
657,961664576,45,683,391,0,CurrentAd,No,Yes
659,961673840,47,275,696,0,CurrentAd,No,Yes
660,961683560,83,278,74,0,CurrentAd,No,Yes
661,981985281,13,116,92,0,CurrentAd,No,Yes
664,981995257,75,96,118,0,CurrentAd,No,Yes
665,961664744,50,654,506,0,CurrentAd,No,Yes
666,961664792,15,656,607,0,CurrentAd,No,Yes
668,961684136,9,290,37,0,CurrentAd,No,Yes
670,961693480,58,1,603,0,CurrentAd,No,Yes
671,961674496,62,183,164,0,CurrentAd,No,Yes
673,961655968,3,322,231,0,CurrentAd,No,Yes
675,981967801,14,325,145,0,CurrentAd,No,Yes
676,961674840,50,674,543,0,CurrentAd,No,Yes
679,961684632,82,445,365,0,CurrentAd,No,Yes
680,961675168,30,672,246,0,CurrentAd,No,Yes
681,981968113,64,377,304,0,CurrentAd,No,Yes
682,961684720,79,197,41,0,CurrentAd,No,Yes
684,981986969,85,284,238,0,CurrentAd,No,Yes
687,981987169,27,360,687,0,CurrentAd,No,Yes
689,981968681,65,362,318,0,CurrentAd,No,Yes
690,982006745,9,371,25,0,CurrentAd,No,Yes
696,981987577,22,17,32,0,CurrentAd,No,Yes
697,981969089,77,132,661,0,CurrentAd,No,Yes
698,981978441,35,11,4,0,CurrentAd,No,Yes
699,981978465,94,428,554,0,CurrentAd,No,Yes
700,981979065,6,187,59,0,CurrentAd,No,Yes
706,981989305,33,383,549,0,CurrentAd,No,Yes
709,982009225,47,356,387,0,CurrentAd,No,Yes
710,982009353,34,25,654,0,CurrentAd,No,Yes
711,961637424,63,333,255,0,CurrentAd,No,Yes
712,961648184,70,395,637,0,CurrentAd,No,Yes
713,961627368,61,68,361,0,CurrentAd,No,Yes
714,961632936,86,584,410,0,CurrentAd,No,Yes
715,961638024,93,397,270,0,CurrentAd,No,Yes
716,961638256,88,457,44,0,CurrentAd,No,Yes
719,961649584,28,333,39,0,CurrentAd,No,Yes
721,961639912,16,388,232,0,CurrentAd,No,Yes
723,961635456,13,581,604,0,CurrentAd,No,Yes
724,961630072,19,461,421,0,CurrentAd,No,Yes
725,961630104,55,315,219,0,CurrentAd,No,Yes
726,961630136,20,634,248,0,CurrentAd,No,Yes
727,961651152,58,40,576,0,CurrentAd,No,Yes
728,961646536,14,545,404,0,CurrentAd,No,Yes
730,961646632,95,411,661,0,CurrentAd,No,Yes
733,961630872,10,485,34,0,CurrentAd,No,Yes
734,961652024,41,459,356,0,CurrentAd,No,Yes
735,961631152,67,599,435,0,CurrentAd,No,Yes
736,961636584,20,42,444,0,CurrentAd,No,Yes
738,961647104,63,441,225,0,CurrentAd,No,Yes
740,961652296,60,400,185,0,CurrentAd,No,Yes
741,961652288,29,316,10,0,CurrentAd,No,Yes
743,961631312,86,415,623,0,CurrentAd,No,Yes
744,961636760,76,396,528,0,CurrentAd,No,Yes
745,961652368,90,457,606,0,CurrentAd,No,Yes
746,961641848,79,594,249,0,CurrentAd,No,Yes
747,961641912,50,440,301,0,CurrentAd,No,Yes
748,961636944,96,404,300,0,CurrentAd,No,Yes
749,961636952,73,205,549,0,CurrentAd,No,Yes
750,961647440,62,231,560,0,CurrentAd,No,Yes
751,961647464,74,685,104,0,CurrentAd,No,Yes
754,961653136,28,410,557,0,CurrentAd,No,Yes
756,961672656,6,248,589,0,CurrentAd,No,Yes
757,961692064,0,567,483,0,CurrentAd,No,Yes
759,961692416,64,523,691,0,CurrentAd,No,Yes
760,961654752,81,93,285,0,CurrentAd,No,Yes
761,961664520,96,418,398,0,CurrentAd,No,Yes
763,961655520,65,487,658,0,CurrentAd,No,Yes
764,961655632,3,309,71,0,CurrentAd,No,Yes
765,961665160,37,399,409,0,CurrentAd,No,Yes
767,961674736,46,502,149,0,CurrentAd,No,Yes
768,961656128,67,291,362,0,CurrentAd,No,Yes
769,961684488,31,580,661,0,CurrentAd,No,Yes
770,961665712,82,206,360,0,CurrentAd,No,Yes
771,961665720,95,205,582,0,CurrentAd,No,Yes
772,961666432,94,418,406,0,CurrentAd,No,Yes
773,961685488,31,584,83,0,CurrentAd,No,Yes
775,961676040,75,626,131,0,CurrentAd,No,Yes
776,981945657,21,529,625,0,CurrentAd,No,Yes
778,981959209,49,495,565,0,CurrentAd,No,Yes
779,981950665,46,79,601,0,CurrentAd,No,Yes
780,981953105,90,492,465,0,CurrentAd,No,Yes
782,981948409,28,360,627,0,CurrentAd,No,Yes
783,981950945,92,422,326,0,CurrentAd,No,Yes
788,981952409,83,663,608,0,CurrentAd,No,Yes
789,981955377,29,577,624,0,CurrentAd,No,Yes
791,981952817,50,604,579,0,CurrentAd,No,Yes
793,981971721,3,520,255,0,CurrentAd,No,Yes
797,981991273,35,233,596,0,CurrentAd,No,Yes
798,981972793,59,236,190,0,CurrentAd,No,Yes
800,981973169,6,132,325,0,CurrentAd,No,Yes
802,981964065,66,91,515,0,CurrentAd,No,Yes
803,982002169,41,37,254,0,CurrentAd,No,Yes
804,981964169,33,104,652,0,CurrentAd,No,Yes
806,981982865,49,538,448,0,CurrentAd,No,Yes
807,981964505,66,458,643,0,CurrentAd,No,Yes
808,981992721,97,480,513,1,CurrentAd,No,Yes
809,981964921,67,458,490,0,CurrentAd,No,Yes
810,981983601,33,206,342,0,CurrentAd,No,Yes
811,982003273,93,337,223,0,CurrentAd,No,Yes
812,981965361,56,692,514,0,CurrentAd,No,Yes
813,981993641,32,332,566,0,CurrentAd,No,Yes
816,982003937,84,304,612,0,CurrentAd,No,Yes
817,981994217,82,378,403,0,CurrentAd,No,Yes
820,981966377,19,660,276,0,CurrentAd,No,Yes
821,981966401,36,585,435,0,CurrentAd,No,Yes
825,982004753,17,97,470,0,CurrentAd,No,Yes
828,981985729,53,416,37,0,CurrentAd,No,Yes
829,982004961,8,645,30,0,CurrentAd,No,Yes
834,982005961,26,397,451,0,CurrentAd,No,Yes
836,981968217,38,319,499,0,CurrentAd,No,Yes
837,981986905,43,457,482,0,CurrentAd,No,Yes
841,982006865,6,224,102,0,CurrentAd,No,Yes
